french,english
tueurs,killers
terriblement,terribly
charité,charity
prêtes,ready
écriture,writing
oublies,forget
adorent,love
etje,and I
luxe,luxury
irez,will go
ambassadeur,ambassador
bush,bush
arrêtera,will stop
informer,inform
orage,thunderstorm
revenus,income
pisse,piss
renvoyé,returned
sachant,knowing
tombes,fallen down
rois,kings
époux,husband
accueil,welcome
relève,relieving
judy,Judy
aidez,help
môme,kid
diego,diego
atmosphère,atmosphere
routes,roads
ravissante,lovely
coach,coach
ennui,boredom
suffisant,sufficient
poème,poem
jouets,toys
jennifer,jennifer
usage,use
prières,prayers
revue,review
adaptation,adaptation
suffira,will suffice
collège,college
singes,monkeys
otage,hostage
apprécier,appreciate
diplôme,diploma
bâtard,bastard
destination,destination
analyse,analysis
caroline,caroline
demandent,ask
décembre,December
côtes,ribs
casier,locker
fermes,farms
patrouille,patrol
royal,royal
tit,tit
mérites,merits
texte,text
jusque,until
tigre,tiger
çà,That
be,be
médical,medical
ieur,ieur
svp,please
ron,ron
pouce,thumb
plaisantez,joke
requin,shark
essentiel,essential
espèces,species
fruit,fruit
came,cam
cesser,cease
allen,Allen
teddy,teddy
annulé,canceled
dangereuse,dangerous
poète,poet
nanas,babes
tiendra,will hold
emmenez,take
passerai,will pass
automne,autumn
habillé,dressed
guerrier,warrior
pique,spades
savon,soap
satisfait,satisfied
sépare,separated
agi,acted
ordonné,ordered
serre,tight
neil,Neil
cassée,broken
deviez,had to
arts,arts
ramasser,pick up
anthony,anthony
baisser,lower
pirates,pirates
avertir,warn
menacé,threat
so,so
détendre,loosen
rembourser,repay
fabrique,made
métal,metal
expliqué,explain
lecture,reading
josh,Josh
attire,attracted
carrément,downright
irons,will go
mere,mother
combats,fights
pensons,let's think
mélange,blend
travaillais,worked
syndicat,union
queique,queique
indice,hint
marines,marines
enverrai,will send
hill,hill
processus,process
joint,seal
ouvriers,workers
marques,brands
dépassé,exceeds
pa,pa
ailles,wings
bats,beat
pourront,will be able to
clown,clown
poubelle,garbage can
marins,sailors
boisson,beverage
vaincre,defeat
combinaison,combination
demandait,asked
testament,will
sonné,stunned
flammes,flames
dégueulasse,disgusting
ø,ø
administration,administration
commissariat,police station
envoyée,sent
green,green
dépose,deposit
lâché,coward
réveillée,awake
épaules,shoulders
jay,jay
artistes,artists
culotte,cheeky
vides,empty
er,er
énormément,enormously
team,team
quittes,left
accuse,accused
magicien,Wizard
importants,important
direz,you will say
fouiller,rummage
paierai,will pay
écoles,schools
cm,cm
reverra,will see again
articles,items
trône,throne
laboratoire,laboratory
Andrew,Andrew
panier,basket
endormi,asleep
lave,wash
buddy,buddy
cuir,leather
huh,huh
foutus,fucked up
resterai,will stay
cendres,ashes
stone,stone
environnement,environment
rumeur,rumor
interrompre,interrupt
vaudrait,would be worth
matinée,morning
risquer,risk
tranquilles,quiet
earl,earl
transformer,transform
planté,plant
costumes,costumes
mickey,Mickey
machin,thing
transport,transportation
señor,senor
indique,noted
citoyen,citizen
aurions,would have
times,times
viol,rape
particulièrement,particularly
pourrons,will be able to
shirt,shirt
connards,assholes
casino,casino
douter,doubt
pendre,hang
essaierai,will try
accomplir,accomplish
pipi,pee
allumer,to light up
reviennent,come back
certes,certainly
dessert,dessert
curiosité,curiosity
fraîche,fresh
lié,related
maurice,mauritius
little,little
disaient,said
vodka,vodka
pétrin,kneader
témoignage,testimony
déclare,declared
scientifiques,scientists
coco,coconut
baissez,lower
Anderson,Anderson
censés,supposed
Kansas,Kansas
boules,balls
sauras,will know
éclair,flash
vain,vain
nuage,cloud
création,creation
anneau,ring
fumier,manure
rio,rio
dose,dose
profonde,deep
étude,study
atelier,workshop
cuisiner,cook
vaux,worth
malheureuse,unhappy
catholique,Catholic
zoo,zoo
précisément,precisely
talents,talents
activités,activities
importantes,important
bouteilles,bottles
vomir,to vomit
tonnerre,thunder
ned,ned
assuré,insured
plantes,plants
hong,hong
destinée,destiny
plaisanterie,joke
circuit,circuit
piges,freelancers
Moore,Moore
observer,observe
mines,mining
peindre,to paint
porno,porn
comtesse,countess
casque,helmet
rate,missed
coûter,cost
chacune,each
Jamie,Jamie
parent,parent
dépression,depression
télégramme,telegram
élu,elected
stupides,stupid
pensiez,thought
partant,leaving
cash,cash
profite,take advantage
caution,bail
serrer,to squeeze
maudite,cursed
intéresser,to interest
écart,gap
inquiètes,worried
oú,Or
évidence,evidence
leçons,lessons
connus,known
etc,etc
retiré,took of
Greg,Greg
rendent,make
volontaire,voluntary
nid,nest
Oliver,Oliver
he,Hey
prêter,lend
nichons,tits
capitale,capital city
témoigner,bear witness
équipes,teams
égoïste,self-centered
partent,leave
troupe,troop
sincèrement,sincerely
regretter,to regret
responsabilités,responsibilities
associés,associates
cigare,cigar
dean,dean
partirai,will leave
adversaire,opponent
générale,general
misère,misery
vampires,vampires
grève,strike
Nina,Nina
suisse,Swiss
gâteaux,cakes
diamant,diamond
catastrophe,disaster
meubles,furniture
gus,gus
voyages,travel
subir,undergo
balade,ride
allah,Allah
mêler,mix
signez,sign
enveloppe,envelope
ressenti,feeling
führer,fuhrer
gras,fat
arrêtée,stopped
explose,explodes
range,tidy
interview,interview
tombent,fall
confier,entrust
voile,veil
fiches,sheets
embête,bother
caravane,caravan
affection,affection
Manhattan,Manhattan
éléphant,elephant
blue,blue
vagues,waves
pleins,full
fascinant,fascinating
doutais,doubted
effrayant,scary
commercial,commercial
rapporter,report
fonction,function
fixe,fixed
arrete,stopped
pères,fathers
circulation,traffic
tennis,tennis
Marc,Mark
navrée,sorry
civilisation,civilization
fameux,famous
retenu,retained
moutons,sheep
draps,sheets
servent,serve
jouais,was playing
éternelle,eternal
couches,layers
satellite,satellite
ramasse,picked up
endormir,fall asleep
fillette,little girl
rendra,will make
sujets,topics
remède,remedy
portez,wear
enseigner,teach
observe,observed
ouverts,open
vues,views
sortait,was going out
passais,I was passing
ris,laugh
transfert,transfer
bidon,can
météo,weather report
explosé,exploded
loyauté,loyalty
dignité,dignity
planche,plank
améliorer,improve
hélicoptère,helicopter
civil,civil
liens,connections
vif,lively
maintenir,maintain
Craig,Craig
Vietnam,Vietnam
Claude,Claude
pacifique,peaceful
fringues,clothes
demie,half
onze,eleven
we,we
mangent,eat
connaissiez,knew
rares,rare
naturelle,natural
sue,sue
ricky,ricky
assaut,assault
fâchée,angry
portent,carry
kay,kay
karl,Karl
pareils,the same
légal,legal
tracy,tracy
eus,had
pr,pr
civils,civilians
inconnue,unknown
eva,eva
disparition,disappearance
nicky,nicky
steven,steven
pompe,pump
méchante,evil
lancement,launch
quartiers,neighborhoods
douceur,candy
tendu,tense
feuille,leaf
stuart,stuart
leader,leader
pilotes,pilots
ètait,was
mâle,male
tenais,held on
royale,royal
cordes,ropes
arrivez,arrive
bandes,bands
promenade,ride
magnifiques,magnificent
emma,emma
wallace,wallace
veronica,veronica
tv,TV
adn,dna
monseigneur,My lord
meure,die
airs,tunes
emmenée,taken away
actuellement,Currently
peste,plague
Antonio,Antonio
tragique,tragic
médias,media
antenne,antenna
avertissement,warning
brille,shines
Pedro,Peter
conflit,conflict
pompiers,firefighters
engin,machine
douée,gifted
oublions,let's forget
plains,plains
systèmes,systems
foire,fair
Sonny,Sonny
patiente,patient
coincée,stuck
canons,cannons
partira,will leave
soutenir,sustain
beach,beach
poussez,PUSH
saigne,bleeds
toc,knock
construction,construction
boucher,butcher
missiles,missiles
compétition,competition
buvons,let's drink
motif,pattern
ambassade,embassy
warren,warren
régiment,regiment
remarquer,to remark
enregistré,checked in
collins,collins
enregistrement,registration
doutes,doubts
sien,his
profit,profit
sammy,sammy
audition,hearing
lame,blade
opportunité,opportunity
scotch,Scotch
imaginé,conceived
coke,coke
existent,exist
budget,budget
pearl,pearl
basse,low
selle,saddle
déja,Already
historique,historical
officiellement,officially
effacer,to erase
loge,lodge
francis,francis
décrire,describe
osé,dared
éternel,eternal
serpents,snakes
demanderai,will ask
médicament,medicine
deviné,guess
armées,armies
promesses,promises
chaînes,chains
sentait,felt
association,association
viennes,come
quai,dock
poker,poker
saleté,dirt
sandy,sandy
ã,has
irak,Iraq
commences,start
crevé,flattened
cuba,Cuba
wendy,wendy
profil,profile
travis,travis
tache,stain
viendront,will come
étudie,studied
apportez,bring
tribu,tribe
crié,calls out
entraîne,leads
héroïne,heroin
changements,changes
joan,joan
correctement,correctly
essaient,try
mouvements,movements
atterrir,to land
formes,shapes
coca,Coca
fragile,fragile
poignée,handle
cadre,frame
genou,knee
conçu,designed
revu,reviewed
légitime,legitimate
sauvée,saved
déménager,to relocate
conne,cunt
dentiste,dentist
aiier,aiier
ondes,waves
ralph,ralph
mené,led
discipline,discipline
évacuer,clear out
parié,bet
bières,beers
arabe,Arab
Russell,Russell
identifié,identified
recevez,receive
cachée,hidden
évite,avoid
dormais,was sleeping
utilisez,use
décès,death
guy,guy
get,get
demoiselle,lady
fui,fled
ressemblent,look alike
misérable,miserable
fatigue,fatigue
ancêtres,ancestors
camions,trucks
dormez,sleep
pan,bang
duré,hard
disponible,available
vôtres,yours
cuit,cooked
marchait,walked
nage,swimming
come,come
suspects,suspects
menottes,handcuffs
nique,fuck
panneau,sign
rit,laughs
pognon,money
illusion,illusion
menu,menu
Ronnie,Ronnie
établir,establish
mettons,let's put
retrouvée,found
sabre,saber
André,Andrew
épuisé,exhausted
restés,remains
continues,continuous
chanteur,singer
kid,kid
lola,lola
prés,close
tendance,tendency
souvient,remembers
enfermer,lock up
thérapie,therapy
vaisselle,dishes
tournez,turn
accorde,granted
chemins,paths
troupeau,herd
saluer,greet
uh,uh
Kennedy,Kennedy
nettoie,cleans
assiette,plate
discuté,discussed
touches,keys
impact,impact
dessins,drawings
rompre,to break up
suivent,follow
sienne,his
verrons,we'll see
angoisse,anguish
états,states
vivons,live
Mitchell,Mitchell
écrasé,crushed
tiennent,hold
pape,Pope
connaissons,know
Murphy,Murphy
Ivan,Ivan
supposé,Assumed
colonne,column
assistante,assistant
mettrai,will put
maquillage,makeup
ticket,ticket
réussite,success
quête,quest
boxe,boxing
proposer,to propose
boutons,buttons
arriverait,would happen
assassins,assassins
répétition,repetition
agissait,acted
culpabilité,guilt
pirate,pirate
blanches,white
brésil,Brazil
penny,penny
maîtres,masters
psychiatre,psychiatrist
miracles,miracles
hello,Hello
honorable,honorable
collines,Hills
vachement,really
taureau,bull
considère,considered
âne,donkey
whoa,whoa
comprennent,understand
Christian,Christian
Justin,Justin
méthodes,methods
canal,channel
navette,shuttle
Tyler,Tyler
légère,light
sortant,outgoing
chaussettes,socks
revanche,revenge
remet,hands over
mentez,lie
bud,bud
Abby,Abby
poils,fur
placer,to place
absent,absent
arrivais,arrived
escaliers,stairs
funérailles,funeral
routine,routine
noté,note
prenais,took
conducteur,driver
subi,suffered
photographe,photographer
noires,black
marchandise,merchandise
prendrais,would take
émotion,emotion
défaut,default
satan,Satan
occuperai,will occupy
dog,dog
mystérieux,mysterious
carmen,carmen
possession,possession
responsables,responsible
raccroche,hang up
intentions,intentions
minimum,minimum
négocier,negotiate
janvier,January
baraque,shack
batte,bat
irlandais,Irish
filet,net
confortable,comfortable
fermés,closed
ressources,resources
rayons,rays
innocente,innocent
Harvard,Harvard
expédition,shipping
may,may
profession,occupation
plaira,will please
bêtise,stupidity
restant,remaining
jugé,judge
Mitch,Mitch
organise,organized
rappelé,recalled
puissante,powerful
pertes,losses
saurait,would know
planque,hideout
ressentir,to feel
grotte,cave
gentiment,kindly
péter,to fart
chienne,female dog
tristesse,sadness
héritage,legacy
occupera,will occupy
Benjamin,Benjamin
Antoine,Anthony
bloqué,blocked
punition,punishment
constamment,constantly
contents,happy
visites,visits
infiniment,infinitely
effectivement,Effectively
chiffre,figure
conscient,aware
manager,manager
représentant,representative
anglaise,English
cauchemars,nightmares
Jan,Jan
continué,keep on going
réduit,reduced
gré,free will
filmé,filmed
stars,stars
Owen,Owen
embrassé,kissed
peint,painted
reparti,left again
soie,silk
Lloyd,Lloyd
voisine,neighbor
douzaine,dozen
frankenstein,frankenstein
attaques,attacks
gênant,embarrassing
superman,superman
arrivant,arriving
brillante,brilliant
atterrissage,landing
attendra,will wait
allure,allure
pénible,hard
faibles,weak
clef,key
Bruno,Bruno
Christine,Christina
Rebecca,Rebecca
bang,bang
pété,farted
gardiens,guardians
formule,formula
soda,soda
frites,fries
fées,fairies
angel,angel
mm,mm
aperçu,preview
imaginais,imagined
aussitôt,right away
énormes,huge
wade,wade
choisit,chooses
montée,climb
baignoire,bathtub
principes,principles
homo,homo
marchand,merchant
cochons,pigs
spécialiste,specialist
repéré,spotted
récupéré,recovered
extra,extra
éclate,bursts
survivants,survivors
auquel,to which
apparence,appearance
sucer,suck
habiter,live
excité,excited
Houston,Houston
jules,jules
foudre,lightning
chasseurs,hunters
walker,walker
with,with
nièce,niece
urgences,EMERGENCIES
mérité,deserved
dépensé,spent
boys,boys
saisir,to input
équilibre,balance
allumé,alight
lâches,cowards
bruits,noises
protégé,protected
résolu,resolved
probable,likely
poursuite,pursuit
baker,baker
résidence,residence
cognac,cognac
Clyde,Clyde
muscles,muscles
passées,past
intime,respondent
république,Republic
serviteur,servant
noyer,walnut
mortes,dead
trompée,deceived
morgue,morgue
cherchons,are looking for
coma,coma
capables,capable
berger,shepherd
apprendra,will learn
amateur,amateur
dises,say
vertu,virtue
permets,allow
mafia,mafia
engagement,commitment
lesquelles,which
cachette,hiding place
