,french,english
2991,mandat,mandate
2992,éducation,education
2993,ramené,brings back
2994,réponses,answers
2995,bagarre,fight
2996,escalier,stairs
2997,naturellement,naturally
2998,désire,longed for
2999,lignes,lines
3000,incident,incident
3001,kilos,kilos
3002,rats,rats
3003,quinze,fifteen
3004,parties,parts
3005,véhicule,vehicle
3006,wayne,wayne
3007,chasser,chase
3008,bottes,boots
3009,objectif,objective
3010,patients,patients
3011,suivante,next
3012,respecte,respect
3013,attrapé,caught
3014,junior,junior
3015,colline,hill
3016,professionnel,professional
3017,devoirs,homework
3018,conseils,advice
3019,effets,effects
3020,fichu,damn
3021,blessure,injury
3022,messages,posts
3023,baby,baby
3024,crimes,crimes
3025,moscou,Moscow
3026,villes,cities
3027,voudra,will want
3028,moto,motorbike
3029,domaine,domain
3030,organisation,organization
3031,aimable,kind
3032,forts,strong
3033,eue,had
3034,exercice,exercise
3035,voyager,to travel
3036,arrestation,arrest
3037,fasses,do
3038,pizza,pizza
3039,barbe,beard
3040,french,French
3041,dossiers,files
3042,tunnel,tunnel
3043,voudrez,will want
3044,arrivait,was coming
3045,roses,roses
3046,amiral,admiral
3047,cabinet,office
3048,mére,mother
3049,poursuivre,pursue
3050,forcé,strength
3051,huile,oil
3052,grosses,big
3053,ranger,tidy
3054,furieux,furious
3055,vivait,lived
3056,aidera,will help
3057,géant,giant
3058,tim,tim
3059,tours,towers
3060,retire,took of
3061,vote,vote
3062,autorisation,authorisation
3063,risqué,risk
3064,hitler,Hitler
3065,rond,round
3066,show,show
3067,territoire,territory
3068,venger,revenge
3069,exprès,on purpose
3070,tuerai,will kill
3071,anges,angels
3072,classique,classic
3073,soutien,support
3074,rentres,come back
3075,tokyo,tokyo
3076,proposition,proposal
3077,love,love
3078,tests,tests
3079,pétrole,oil
3080,réaliser,realize
3081,sortira,will come out
3082,soirs,evenings
3083,ministère,ministry
3084,magazine,magazine
3085,verres,glasses
3086,échec,failure
3087,vieilles,old
3088,pourrions,could
3089,bol,bowl
3090,plaire,to please
3091,miller,miller
3092,respecter,respect
3093,cons,idiots
3094,golf,golf
3095,bibliothèque,library
3096,attirer,attract
3097,drapeau,flag
3098,possède,possesses
3099,production,production
3100,conférence,conference
3101,efforts,efforts
3102,pere,father
3103,putains,whores
3104,précieux,precious
3105,religion,religion
3106,rêver,dream
3107,épreuve,test
3108,retenir,retain
3109,football,soccer
3110,Frankie,Frankie
3111,échoué,failed
3112,pisser,piss
3113,Barry,Barry
3114,sortes,kinds
3115,circonstances,circumstances
3116,kong,Kong
3117,mignonne,cute
3118,excellence,Excellency
3119,auto,car
3120,do,do
3121,vague,wave
3122,arrêtes,stop
3123,nôtre,OUR
3124,vallée,valley
3125,Morgan,Morgan
3126,enterré,buried
3127,tandis,while
3128,duc,duke
3129,pêre,father
3130,assassiné,murdered
3131,ooo,ooo
3132,charme,charm
3133,quart,quarter
3134,arrangé,arranged
3135,guitare,guitar
3136,remplir,fill
3137,Sophie,Sophie
3138,crève,die
3139,Jesse,Jesse
3140,Bruce,Bruce
3141,Sara,Sarah
3142,refuser,refuse
3143,donnent,give
3144,Luke,Luke
3145,taper,type
3146,critique,critical
3147,secrète,secret
3148,terminer,to end
3149,hauteur,height
3150,comédie,comedy
3151,cimetière,graveyard
3152,baisé,fucked
3153,cardiaque,cardiac
3154,Catherine,Catherine
3155,chiffres,numbers
3156,fêter,to celebrate
3157,trouverez,will find
3158,indien,Indian
3159,altesse,highness
3160,occupée,busy
3161,intelligente,intelligent
3162,culture,culture
3163,deviner,guess
3164,géniale,awesome
3165,limites,boundaries
3166,Nancy,Nancy
3167,précis,accurate
3168,éternité,eternity
3169,ball,ball
3170,plateau,plateau
3171,prises,taken
3172,viendrai,will come
3173,rempli,completed
3174,clairement,clearly
3175,intérêts,interests
3176,langage,language
3177,aides,helpers
3178,feux,lights
3179,Betty,Betty
3180,copie,copy
3181,profondément,deeply
3182,fâché,angry
3183,incapable,unable
3184,mercredi,Wednesday
3185,souffrance,suffering
3186,avouer,to confess to
3187,mile,mile
3188,posez,pose
3189,lion,lion
3190,ali,ali
3191,soigner,cure
3192,fenêtres,Windows
3193,pue,stinks
3194,électrique,electric
3195,italien,Italian
3196,traversé,crossed
3197,réception,reception
3198,énerve,irritated
3199,rentrons,let's go back
3200,couvrir,cover
3201,fonce,dark
3202,Harvey,Harvey
3203,Kyle,Kyle
3204,produits,products
3205,loyer,rent
3206,grace,grace
3207,bleus,blue
3208,assistant,assistant
3209,cervelle,brain
3210,trente,thirty
3211,yeah,yeah
3212,saches,know
3213,national,national
3214,avenue,avenue
3215,evidemment,obviously
3216,reçois,receive
3217,cité,quoted
3218,liaison,connection
3219,prouve,prove
3220,collier,necklace
3221,aprês,After
3222,séance,session
3223,placard,closet
3224,criminels,criminals
3225,irais,would go
3226,riz,rice
3227,sandwich,sandwich
3228,boston,Boston
3229,parlerai,will speak
3230,places,places
3231,stade,stadium
3232,gagnant,winner
3233,moral,moral
3234,tendre,tender
3235,fleuve,river
3236,mêre,mother
3237,stanley,stanley
3238,trouvait,found
3239,auparavant,previously
3240,personnellement,personally
3241,fièvre,fever
3242,champs,fields
3243,tuera,will kill
3244,chatte,cat
3245,actes,actions
3246,restait,remained
3247,amant,lover
3248,concernant,concerning
3249,las,the ace
3250,ferons,will do
3251,cherchent,they search
3252,tenait,held
3253,exécution,execution
3254,ann,ann
3255,lou,lou
3256,pédé,faggot
3257,prière,pray
3258,hélas,Alas
3259,sortent,go out
3260,bateaux,boats
3261,allaient,were going
3262,durer,last
3263,assise,seated
3264,alarme,alarm
3265,commencez,start
3266,furent,were
3267,prenait,taking
3268,brad,brad
3269,entièrement,entirely
3270,médecine,medicine
3271,juillet,July
3272,sortis,out
3273,sensible,sensitive
3274,poudre,powder
3275,finale,final
3276,plais,pleases
3277,durs,hard
3278,discussion,discussion
3279,séparer,to separate
3280,esclaves,slaves
3281,instructions,instructions
3282,beurre,butter
3283,documents,documents
3284,taré,tare
3285,rick,rick
3286,détail,detail
3287,baron,baron
3288,mettent,put
3289,congrès,Congress
3290,épaule,shoulder
3291,poison,poison
3292,final,final
3293,métro,Metro
3294,attendrai,will wait
3295,serment,oath
3296,chan,chan
3297,pardonne,forgiven
3298,espagnol,Spanish
3299,supérieur,superior
3300,w,w
3301,degrés,degrees
3302,rires,laughter
3303,west,west
3304,parker,Parker
3305,tuez,kill
3306,œufs,eggs
3307,fiancé,fiance
3308,nerfs,nerves
3309,portefeuille,wallet
3310,robot,robot
3311,internet,Internet
3312,expert,expert
3313,hank,hank
3314,surveillance,monitoring
3315,foutue,fucked up
3316,rita,rita
3317,réalisateur,director
3318,entraîner,train
3319,martha,Martha
3320,descendu,descended
3321,patrick,Patrick
3322,comté,county
3323,congé,leave
3324,finira,will end
3325,caméras,cameras
3326,sauce,sauce
3327,balance,balance
3328,destruction,destruction
3329,moderne,modern
3330,Carlos,Carlos
3331,extrêmement,extremely
3332,âmes,souls
3333,expression,expression
3334,marchera,will walk
3335,commerce,trade
3336,ivre,drunk
3337,salopard,bastard
3338,appétit,appetite
3339,dette,debt
3340,all,all
3341,promener,to take a walk
3342,employés,employees
3343,admettre,admit
3344,producteur,producer
3345,attendons,let's wait
3346,quittez,leave
3347,brise,broken
3348,wow,wow
3349,juin,June
3350,chats,cats
3351,remets,put back
3352,ajouter,add
3353,couler,to flow
3354,Pasteur,Pastor
3355,alliez,were going
3356,portrait,portrait
3357,heu,uh
3358,by,by
3359,lancé,spear
3360,diamants,diamonds
3361,donnée,given
3362,avantage,advantage
3363,fidèle,faithful
3364,juger,judge
3365,renseignements,information
3366,gang,gang
3367,loué,rented
3368,réseau,network
3369,ouverture,opening
3370,travaux,works
3371,poussé,pushed
3372,division,division
3373,invitation,invitation
3374,repartir,to share out
3375,trous,holes
3376,rappelez,remind
3377,totale,total
3378,solide,solid
3379,réservé,reserve
3380,Willie,Willie
3381,autorité,authority
3382,fermée,closed
3383,munitions,ammunition
3384,neveu,nephew
3385,diras,will say
3386,téléphoner,call
3387,briser,to break
3388,siècles,centuries
3389,nerveuse,nervous
3390,bonbons,candy
3391,blé,wheat
3392,pourri,rotten
3393,puits,well
3394,fantômes,ghosts
3395,termine,finished
3396,monstres,monsters
3397,écraser,crush
3398,espérons,hope
3399,bétail,cattle
3400,miens,mine
3401,changera,will change
3402,adultes,adults
3403,restée,remained
3404,total,total
3405,fierté,pride
3406,pari,bet
3407,sein,breast
3408,cessez,stop
3409,Elizabeth,Elizabeth
3410,exige,required
3411,étudiant,student
3412,Jackie,Jackie
3413,démarre,started
3414,lâchez,let go
3415,Marty,Marty
3416,passons,let's move on
3417,vic,vic
3418,semblez,seem
3419,gérer,manage
3420,électricité,electricity
3421,invitée,guest
3422,injuste,unfair
3423,désirez,desire
3424,lampe,lamp
3425,normalement,Normally
3426,causer,cause
3427,dalle,slab
3428,mondiale,worldwide
3429,comptez,count
3430,rouler,to roll
3431,filmer,film
3432,rapporte,reports
3433,sourd,deaf
3434,trouveras,will find
3435,alliance,alliance
3436,convient,agrees
3437,rage,rage
3438,habitants,residents
3439,Mamie,Granny
3440,nuages,clouds
3441,hmm,Hmm
3442,trahi,betrayed
3443,biens,goods
3444,Lewis,Lewis
3445,tournage,filming
3446,créatures,creatures
3447,militaires,military
3448,blessures,injuries
3449,barbara,barbara
3450,Louise,Louise
3451,règlement,regulation
3452,grant,grant
3453,étudié,studied
3454,courez,run
3455,habiller,dress
3456,soeurs,sisters
3457,soins,care
3458,célibataire,Single
3459,veuve,widow
3460,Canada,Canada
3461,dépêche,dispatch
3462,progrès,progress
3463,dégoûtant,disgusting
3464,fan,fan
3465,matière,matter
3466,avril,april
3467,molly,molly
3468,cercle,circle
3469,Davis,Davis
3470,nucléaire,nuclear
3471,pervers,pervert
3472,échelle,ladder
3473,adorer,love
3474,trouvais,found
3475,orchestre,orchestra
3476,déposer,deposit
3477,cadavres,corpses
3478,échappe,escape
3479,emprunter,borrow
3480,exprimer,express
3481,caractère,character
3482,libéré,released
3483,signes,signs
3484,fêtes,holidays
3485,vedette,featured
3486,lisez,read
3487,commençons,let's start
3488,robin,robin
3489,généreux,generous
3490,méchants,bad guys
3491,formation,training
3492,bâton,stick
3493,timide,shy
3494,gentils,friendly
3495,premières,firsts
3496,passagers,passengers
3497,immense,immense
3498,serviette,towel
3499,mangez,eat
3500,diriger,direct
3501,passant,passing
3502,Ruth,Ruth
3503,min,min
3504,préférée,favorite
3505,perdez,lose
3506,plaque,plate
3507,espion,spy
3508,connue,known
3509,eaux,waters
3510,deviennent,become
3511,emporter,take away
3512,Gary,Gary
3513,cruel,cruel
3514,citoyens,citizens
3515,von,von
3516,tension,tension
3517,ranch,ranch
3518,Karen,Karen
3519,business,business
3520,your,your
3521,organiser,organize
3522,étonne,surprised
3523,terroristes,terrorists
3524,that,that
3525,micro,microphone
3526,ordure,junk
3527,léger,light
3528,température,temperature
3529,unités,units
3530,populaire,popular
3531,joueurs,players
3532,beth,beth
3533,vincent,Vincent
3534,voies,ways
3535,regardais,looked
3536,saloperie,slut
3537,traverse,crosses
3538,intelligence,intelligence
3539,expériences,experiences
3540,Miami,Miami
3541,opérations,operations
3542,santa,santa
3543,arrange,arrange
3544,dragon,dragon
3545,sûrs,safe
3546,enterrer,bury
3547,pouviez,could
3548,craindre,to fear
3549,mortel,deadly
3550,issue,issue
3551,demeure,remains
3552,mouche,fly 
3553,donna,donna
3554,octobre,october
3555,commandé,order
3556,passeport,passport
3557,dés,of the
3558,couronne,crown
3559,oublierai,will forget
3560,accusation,charge
3561,procédure,procedure
3562,rendez,go
3563,objection,objection
3564,retourné,return
3565,relax,Relax
3566,publique,public
3567,appart,apartment
3568,imagines,imagine
3569,jouent,are playing
3570,inde,India
3571,travaillent,working
3572,essaies,try
3573,Lincoln,Lincoln
3574,psy,psychologist
3575,Vince,Vince
3576,manuel,manual
3577,étranges,strange
3578,apres,After
3579,nombreuses,many
3580,crainte,fear
3581,fit,fit
3582,asile,asylum
3583,cherchait,was looking for
3584,branche,branch
3585,groupes,groups
3586,white,white
3587,hop,hop
3588,tradition,tradition
3589,sel,salt
3590,centrale,central
3591,déçu,disappointed
3592,tentative,attempt
3593,négatif,negative
3594,autorités,authorities
3595,buter,abut
3596,connerie,bullshit
3597,proposé,propose
3598,manières,manners
3599,plaindre,complain
3600,employé,employee
3601,blessée,injured
3602,influence,influence
3603,forcer,force
3604,bonté,goodness
3605,Marcus,Marcus
3606,CIA,CIA
3607,sauvages,wild
3608,personnelle,personal
3609,couvre,covers
3610,coucou,cuckoo
3611,audience,hearing
3612,out,out
3613,savaient,knew
3614,entretien,interview
3615,bouffer,eat
3616,ouai,yeah
3617,impressionnant,impressive
3618,acier,steel
3619,renvoyer,send back
3620,salade,salad
3621,collègues,colleagues
3622,chefs,chefs
3623,guérir,heal
3624,entendue,heard
3625,sœurs,sisters
3626,êtait,was
3627,semblent,seem
3628,participer,participate
3629,coule,flows
3630,dépasse,exceeds
3631,réunis,reunited
3632,plairait,would please
3633,enlevez,remove
3634,trompes,tubes
3635,résister,resist
3636,technologie,technology
3637,patrie,country
3638,conséquences,consequences
3639,Margaret,Margaret
3640,cousine,cousin
3641,habits,clothes
3642,splendide,splendid
3643,Ross,Ross
3644,pipe,pipe
3645,abattu,beaten down
3646,cran,notch
3647,nue,naked
3648,tuyau,pipe 
3649,accueillir,to welcome
3650,découverte,discovery
3651,arracher,to tear out
3652,régime,diet
3653,reçoit,receives
3654,album,album
3655,levez,get up
3656,piqué,dived
3657,original,original
3658,remise,discount
3659,allume,alight
3660,promotion,promotion
3661,juan,juan
3662,examiner,examine
3663,franc,franc
3664,filé,spun
3665,éteint,extinct
3666,canapé,couch
3667,commander,order
3668,dessin,drawing
3669,guère,hardly
3670,interroger,question
3671,oscar,Oscar
3672,paraître,appear
3673,découvre,discover
3674,département,department
3675,vise,aims
3676,obéir,obey
3677,renforts,reinforcements
3678,lily,Lily
3679,événements,events
3680,innocents,innocent
3681,ç,vs
3682,organisé,organized
3683,sain,healthy
3684,devras,will have to
3685,reprends,resume
3686,goutte,drop
3687,cole,cole
3688,souffert,suffered
3689,excitant,exciting
3690,façons,manners
3691,saurai,will know
3692,charlotte,charlotte
3693,sou,penny
3694,réveil,awakening
3695,ken,ken
3696,benny,benny
3697,usa,USA
3698,volée,stolen
3699,préférerais,would prefer
3700,suprême,supreme
3701,tarte,pie
3702,changent,change
3703,revienne,come back
3704,solitaire,lonely
3705,cravate,tie
3706,rocky,rocky
3707,vérifiez,check
3708,ose,dare
3709,souper,supper
3710,événement,event
3711,remarque,REMARK
3712,chevalier,knight
3713,suffisamment,enough
3714,charger,load
3715,produire,produce
3716,repris,taken back
3717,record,record
3718,carol,carol
3719,williams,williams
3720,jo,jo
3721,préparez,prepare
3722,garce,bitch
3723,mêle,mixes
3724,étape,stage
3725,motel,motel
3726,pro,pro
3727,autorisé,allowed
3728,principale,main
3729,clinique,clinical
3730,devenus,become
3731,italie,Italy
3732,intéressante,interesting
3733,jonathan,Jonathan
3734,abattre,fell
3735,ère,time
3736,invisible,invisible
3737,dégâts,damage
3738,clark,clark
3739,élever,raise
3740,suggère,suggests
3741,rigole,laugh
3742,dent,tooth
3743,éclater,to burst
3744,tabac,tobacco
3745,disques,discs
3746,manquait,missing
3747,contacter,contact
3748,valait,was worth
3749,fusils,guns
3750,émotions,emotions
3751,queje,that I
3752,publicité,advertisement
3753,simples,simple
3754,éléments,elements
3755,exception,exception
3756,sincère,sincere
3757,rattraper,catch up
3758,efficace,effective
3759,éteindre,turn off
3760,linge,laundry
3761,goûter,to taste
3762,nathan,nathan
3763,possibilité,possibility
3764,canard,duck
3765,marqué,brand
3766,caporal,corporal
3767,déplacer,move
3768,devrez,will have to
3769,morale,moral
3770,insiste,insists
3771,katie,Katie
3772,parking,car park
3773,identifier,identify
3774,pouvaient,could
3775,personnages,characters
3776,cabane,hut
3777,intéressé,interested
3778,stylo,pen
3779,adoré,loved
3780,attaché,attached
3781,cri,shout
3782,kg,kg
3783,angle,corner
3784,séparés,separated
3785,traîne,dragged
3786,instinct,instinct
3787,déclaré,declared
3788,sire,sire
3789,pleut,rain
3790,séjour,stay
3791,ordures,garbage
3792,Raymond,Raymond
3793,délire,delirium
3794,pires,worst
3795,rumeurs,rumors
3796,fauteuil,armchair
3797,coûté,cost
3798,adjoint,assistant
3799,Stephen,Stephen
3800,collègue,colleague
3801,one,one
3802,poches,pockets
3803,novembre,november
3804,illégal,illegal
3805,restons,let's stay
3806,bonhomme,fellow
3807,appuie,supports
3808,difficiles,difficult
3809,laissera,will leave
3810,courte,short
3811,lâ,there
3812,tuent,kill
3813,lot,batch
3814,levé,survey
3815,seules,alone
3816,vivez,live
3817,personnalité,personality
3818,leo,Leo
3819,scandale,scandal
3820,conclu,concluded
3821,frigo,fridge
3822,admire,admire
3823,aïe,Ouch
3824,tragédie,tragedy
3825,oblige,obliged
3826,commandes,orders
3827,pénis,penis
3828,boue,mud
3829,dettes,debts
3830,enseigne,taught
3831,obscurité,darkness
3832,pages,pages
3833,chapitre,chapter
3834,violent,violent
3835,signature,signature
3836,conseille,advises
3837,vendeur,seller
3838,visages,faces
3839,rarement,rarely
3840,essayait,was trying
3841,serré,tight
3842,mères,mothers
3843,tels,such
3844,halte,stop
3845,collection,collection
3846,désastre,disaster
3847,noix,nut
3848,mourra,will die
3849,rejoins,join
3850,reconnaissance,acknowledgement
3851,blagues,jokes
3852,duke,duke
3853,méthode,method
3854,bienvenu,welcome
3855,donnait,gave
3856,gratuit,free
3857,boîtes,boxes
3858,marches,steps
3859,Brooklyn,Brooklyn
3860,valises,suitcases
3861,enfermé,shut in
3862,gants,gloves
3863,rompu,broken
3864,coïncidence,coincidence
3865,vilain,naughty
3866,poing,fist
3867,britannique,British
3868,dispute,dispute
3869,trahison,treason
3870,téléphoné,phone
3871,août,august
3872,feuilles,leaves
3873,quatrième,fourth
3874,révérend,reverend
3875,censée,supposed
3876,devaient,were to
3877,placé,place
3878,ténèbres,darkness
3879,enfui,ran away
3880,impliqué,implied
3881,vire,fired
3882,pilules,pills
3883,préfères,prefer
3884,for,for
3885,population,population
3886,manges,eat
3887,pleuré,cry
3888,chasseur,hunter
3889,livraison,delivery
3890,reprend,resumes
3891,emporte,take away
3892,louer,to rent out
3893,mette,put
3894,bizarres,weird
3895,torture,torture
3896,remarquable,outstanding
3897,termes,terms
3898,journalistes,journalists
3899,honnêtement,honestly
3900,câble,cable
3901,longs,long
3902,estime,estimated
3903,impôts,taxes
3904,massacre,massacre
3905,pomme,apple
3906,autoroute,highway
3907,sociale,social
3908,moyenne,average
3909,ingénieur,engineer
3910,doug,Doug
3911,péchés,sins
3912,laissent,let
3913,tarder,delay
3914,divine,Divine
3915,éloigner,remove
3916,clan,clan
3917,obligée,obliged
3918,xena,xena
3919,merveille,wonder
3920,concentrer,focus
3921,venons,let's come
3922,opéra,opera
3923,oxygène,oxygen
3924,sexuel,sexual
3925,industrie,industry
3926,aimerai,would like
3927,z,z
3928,sortons,let's go out
3929,accent,accent
3930,lawrence,lawrence
3931,gris,gray
3932,sean,sean
3933,mesures,measures
3934,batterie,battery
3935,toast,toast
3936,postes,positions
3937,communication,communication
3938,manche,sleeve
3939,grandir,to grow
3940,banques,banks
3941,tonnes,tons
3942,gentleman,gentleman
3943,zut,Damn
3944,numéros,numbers
3945,officiel,official
3946,chariot,cart
3947,otages,hostages
3948,prime,prime
3949,poésie,poetry
3950,annuler,Cancel
3951,jersey,Jersey
3952,chagrin,grief
3953,ellen,Ellen
3954,déconne,mess around
3955,fabuleux,fabulous
3956,dennis,dennis
3957,complexe,complex
3958,trafic,traffic
3959,trouille,funk
3960,us,us
3961,débrouiller,sort out
3962,commencent,begin
3963,cinquante,fifty
3964,vraies,true
3965,discute,discuss
3966,communiste,Communist
3967,francs,francs
3968,sacrifice,sacrifice
3969,française,French
3970,foie,liver
3971,statue,statue
3972,résistance,resistance
3973,mettra,will put
3974,volontiers,gladly
3975,drogues,drugs
3976,cercueil,coffin
3977,pendu,hanged
3978,ignorer,ignore
3979,tireur,shooter
3980,eut,had
3981,piquer,sting
3982,creuser,dig
3983,médaille,medal
3984,crée,creates
3985,équipement,equipment
3986,phase,phase
3987,chaos,chaos
3988,salue,greet
3989,survie,survival
3990,défi,challenge
3991,trouvés,found
3992,rencontrée,met
3993,boum,boom
3994,longues,long
3995,telles,such
3996,arriverai,will arrive
3997,gâché,spoils
3998,harris,Harris
3999,brigade,brigade
4000,fiers,proud
4001,ennuyeux,boring
4002,cieux,heavens
4003,contient,contains
4004,aile,wing
4005,oignons,onions
4006,vaches,cows
4007,sensation,sensation
4008,chanceux,lucky
4009,angela,angela
4010,gamine,kid
4011,cooper,cooper
4012,cessé,stopped
4013,tina,tina
4014,ressemblait,looked like
4015,plante,plant
4016,scènes,scenes
4017,solitude,solitude
4018,activité,activity
4019,mobile,mobile
4020,principe,principle
4021,rejoint,joined
4022,économie,economy
4023,armés,armed
4024,plastique,plastic
4025,regardent,look
4026,chant,singing
4027,verte,green
4028,couru,ran
4029,regardait,looked
4030,ford,Ford
4031,besoins,needs
4032,terroriste,terrorist
4033,assister,to assist
4034,bail,lease
4035,roue,wheel
4036,putes,whores
4037,sachez,know
4038,harold,Harold
4039,amenez,bring
4040,génération,generation
4041,causé,cause
4042,entraîneur,coach
4043,rigoles,laughs
4044,amanda,amanda
4045,présenté,present
4046,trompez,deceive
4047,mordu,bitten
4048,jacques,jacques
4049,fans,fans
4050,bourré,stuffed
4051,éliminer,eliminate
4052,enfoirés,bastards
4053,freddy,freddy
4054,bloc,block
4055,pourvu,provided
4056,décisions,decisions
4057,eve,Eve
4058,jacob,jacob
4059,symbole,symbol
4060,croirait,would believe
4061,sagesse,wisdom
4062,politiques,policies
4063,taux,rate
4064,nègre,Negro
4065,jetez,throw away
4066,malédiction,curse
4067,masse,mass
4068,phrase,sentence
4069,pompes,pumps
4070,reconnaissant,grateful
4071,pension,pension
4072,renoncer,give up
4073,sexuelle,sexual
4074,regardant,looking
4075,ordonne,ordered
4076,four,oven
4077,règne,reign
4078,saut,leap
4079,terreur,terror
4080,avaler,swallow
4081,ongles,nails
4082,pratiquement,practically
4083,laissons,let's leave
4084,jalouse,jealous
4085,outils,tools
4086,espérer,hope
4087,tueurs,killers
4088,terriblement,terribly
4089,charité,charity
4090,prêtes,ready
4091,écriture,writing
4092,oublies,forget
4093,adorent,love
4094,etje,and I
4095,luxe,luxury
4096,irez,will go
4097,ambassadeur,ambassador
4098,bush,bush
4099,arrêtera,will stop
4100,informer,inform
4101,orage,thunderstorm
4102,revenus,income
4103,pisse,piss
4104,renvoyé,returned
4105,sachant,knowing
4106,tombes,fallen down
4107,rois,kings
4108,époux,husband
4109,accueil,welcome
4110,relève,relieving
4111,judy,Judy
4112,aidez,help
4113,môme,kid
4114,diego,diego
4115,atmosphère,atmosphere
4116,routes,roads
4117,ravissante,lovely
4118,coach,coach
4119,ennui,boredom
4120,suffisant,sufficient
4121,poème,poem
4122,jouets,toys
4123,jennifer,jennifer
4124,usage,use
4125,prières,prayers
4126,revue,review
4127,adaptation,adaptation
4128,suffira,will suffice
4129,collège,college
4130,singes,monkeys
4131,otage,hostage
4132,apprécier,appreciate
4133,diplôme,diploma
4134,bâtard,bastard
4135,destination,destination
4136,analyse,analysis
4137,caroline,caroline
4138,demandent,ask
4139,décembre,December
4140,côtes,ribs
4141,casier,locker
4142,fermes,farms
4143,patrouille,patrol
4144,royal,royal
4145,tit,tit
4146,mérites,merits
4147,texte,text
4148,jusque,until
4149,tigre,tiger
4150,çà,That
4151,be,be
4152,médical,medical
4153,ieur,ieur
4154,svp,please
4155,ron,ron
4156,pouce,thumb
4157,plaisantez,joke
4158,requin,shark
4159,essentiel,essential
4160,espèces,species
4161,fruit,fruit
4162,came,cam
4163,cesser,cease
4164,allen,Allen
4165,teddy,teddy
4166,annulé,canceled
4167,dangereuse,dangerous
4168,poète,poet
4169,nanas,babes
4170,tiendra,will hold
4171,emmenez,take
4172,passerai,will pass
4173,automne,autumn
4174,habillé,dressed
4175,guerrier,warrior
4176,pique,spades
4177,savon,soap
4178,satisfait,satisfied
4179,sépare,separated
4180,agi,acted
4181,ordonné,ordered
4182,serre,tight
4183,neil,Neil
4184,cassée,broken
4185,deviez,had to
4186,arts,arts
4187,ramasser,pick up
4188,anthony,anthony
4189,baisser,lower
4190,pirates,pirates
4191,avertir,warn
4192,menacé,threat
4193,so,so
4194,détendre,loosen
4195,rembourser,repay
4196,fabrique,made
4197,métal,metal
4198,expliqué,explain
4199,lecture,reading
4200,josh,Josh
4201,attire,attracted
4202,carrément,downright
4203,irons,will go
4204,mere,mother
4205,combats,fights
4206,pensons,let's think
4207,mélange,blend
4208,travaillais,worked
4209,syndicat,union
4210,queique,queique
4211,indice,hint
4212,marines,marines
4213,enverrai,will send
4214,hill,hill
4215,processus,process
4216,joint,seal
4217,ouvriers,workers
4218,marques,brands
4219,dépassé,exceeds
4220,pa,pa
4221,ailles,wings
4222,bats,beat
4223,pourront,will be able to
4224,clown,clown
4225,poubelle,garbage can
4226,marins,sailors
4227,boisson,beverage
4228,vaincre,defeat
4229,combinaison,combination
4230,demandait,asked
4231,testament,will
4232,sonné,stunned
4233,flammes,flames
4234,dégueulasse,disgusting
4235,ø,ø
4236,administration,administration
4237,commissariat,police station
4238,envoyée,sent
4239,green,green
4240,dépose,deposit
4241,lâché,coward
4242,réveillée,awake
4243,épaules,shoulders
4244,jay,jay
4245,artistes,artists
4246,culotte,cheeky
4247,vides,empty
4248,er,er
4249,énormément,enormously
4250,team,team
4251,quittes,left
4252,accuse,accused
4253,magicien,Wizard
4254,importants,important
4255,direz,you will say
4256,fouiller,rummage
4257,paierai,will pay
4258,écoles,schools
4259,cm,cm
4260,reverra,will see again
4261,articles,items
4262,trône,throne
4263,laboratoire,laboratory
4264,Andrew,Andrew
4265,panier,basket
4266,endormi,asleep
4267,lave,wash
4268,buddy,buddy
4269,cuir,leather
4270,huh,huh
4271,foutus,fucked up
4272,resterai,will stay
4273,cendres,ashes
4274,stone,stone
4275,environnement,environment
4276,rumeur,rumor
4277,interrompre,interrupt
4278,vaudrait,would be worth
4279,matinée,morning
4280,risquer,risk
4281,tranquilles,quiet
4282,earl,earl
4283,transformer,transform
4284,planté,plant
4285,costumes,costumes
4286,mickey,Mickey
4287,machin,thing
4288,transport,transportation
4289,señor,senor
4290,indique,noted
4291,citoyen,citizen
4292,aurions,would have
4293,times,times
4294,viol,rape
4295,particulièrement,particularly
4296,pourrons,will be able to
4297,shirt,shirt
4298,connards,assholes
4299,casino,casino
4300,douter,doubt
4301,pendre,hang
4302,essaierai,will try
4303,accomplir,accomplish
4304,pipi,pee
4305,allumer,to light up
4306,reviennent,come back
4307,certes,certainly
4308,dessert,dessert
4309,curiosité,curiosity
4310,fraîche,fresh
4311,lié,related
4312,maurice,mauritius
4313,little,little
4314,disaient,said
4315,vodka,vodka
4316,pétrin,kneader
4317,témoignage,testimony
4318,déclare,declared
4319,scientifiques,scientists
4320,coco,coconut
4321,baissez,lower
4322,Anderson,Anderson
4323,censés,supposed
4324,Kansas,Kansas
4325,boules,balls
4326,sauras,will know
4327,éclair,flash
4328,vain,vain
4329,nuage,cloud
4330,création,creation
4331,anneau,ring
4332,fumier,manure
4333,rio,rio
4334,dose,dose
4335,profonde,deep
4336,étude,study
4337,atelier,workshop
4338,cuisiner,cook
4339,vaux,worth
4340,malheureuse,unhappy
4341,catholique,Catholic
4342,zoo,zoo
4343,précisément,precisely
4344,talents,talents
4345,activités,activities
4346,importantes,important
4347,bouteilles,bottles
4348,vomir,to vomit
4349,tonnerre,thunder
4350,ned,ned
4351,assuré,insured
4352,plantes,plants
